sortie,type,axis,t_start,t_end,duration_s,amplitudes
S046,step,roll,12248592.4,12248597.2,4.8,2.63
S046,step,pitch,12248597.8,12248604.1,6.3,3.07
S046,step,pitch,12248605.669,12248613.3,7.63,3.24
S046,step,roll,12248613.4,12248618.2,4.8,1.36
S046,step,pitch,12248616.0,12248642.0,26.0,3.84
S046,step,roll,12248631.6,12248638.2,6.6,2.44
S046,step,pitch,12248644.5,12248662.8,18.3,3.46
S046,step,roll,12248660.1,12248664.7,4.6,2.13
S046,step,pitch,12248665.0,12248668.9,3.9,3.52
S046,step,pitch,12248675.1,12248680.5,5.4,3.48
S046,step,roll,12248686.1,12248691.3,5.2,1.26
S046,step,pitch,12248702.6,12248735.0,32.4,3.5
S046,step,yaw,12248730.2,12248736.8,6.6,2.06
S046,step,roll,12248735.3,12248740.7,5.4,3.3
S046,step,yaw,12248737.8,12248791.6,53.8,3.37
S046,step,pitch,12248769.2,12248776.3,7.1,1.93
S046,step,pitch,12248779.7,12248791.7,12.0,5.16
S046,step,roll,12248792.6,12248804.5,11.9,2.02
S046,step,pitch,12248793.5,12248820.9,27.4,6.2
S046,step,roll,12248855.03,12248860.2,5.17,5.27
S046,step,pitch,12248865.4,12248871.5,6.1,2.22
S046,step,yaw,12248865.4,12248873.2,7.8,1.69
S046,step,pitch,12248873.2,12248956.3,83.1,3.57
S046,step,yaw,12248875.2,12248902.4,27.2,3.59
S046,step,roll,12248877.7,12248882.5,4.8,2.92
S046,step,roll,12248913.9,12248919.9,6.0,2.05
S046,step,roll,12248965.1,12248971.7,6.6,3.41
S046,step,pitch,12248984.8,12249062.7,77.9,3.6
S046,step,yaw,12248995.2,12249031.4,36.2,3.06
S046,step,roll,12249031.6,12249042.0,10.4,3.95
S046,step,pitch,12249066.4,12249070.5,4.1,2.49
S046,step,roll,12249083.5,12249088.7,5.2,1.51
S046,step,roll,12249099.1,12249104.3,5.2,1.55
S046,step,roll,12249106.9,12249112.1,5.2,1.79
S046,step,roll,12249127.5,12249132.9,5.4,3.59
S046,step,roll,12249140.4,12249145.2,4.8,3.44
S046,step,yaw,12249171.9,12249200.4,28.5,2.61
S046,step,pitch,12249176.6,12249182.2,5.6,2.04
S046,step,roll,12249179.6,12249186.7,7.1,2.87
S046,step,roll,12249200.4,12249210.8,10.4,5.41
S046,step,roll,12249210.8,12249216.0,5.2,3.41
S046,step,yaw,12249213.4,12249231.6,18.2,2.04
S046,step,roll,12249218.3,12249244.6,26.3,6.51
S046,step,roll,12249246.7,12249254.9,8.2,3.85
S046,step,roll,12249274.6,12249280.1,5.5,4.44
S046,step,roll,12249283.4,12249287.4,4.0,1.61
S046,step,roll,12249290.4,12249306.9,16.5,2.47
S046,step,roll,12249316.4,12249320.8,4.4,2.58
S046,step,roll,12249330.3,12249338.1,7.8,3.25
S046,step,roll,12249366.4,12249371.8,5.4,6.85
S046,step,yaw,12249387.4,12249469.8,82.4,4.38
S046,step,roll,12249390.0,12249394.5,4.5,1.89
S046,step,pitch,12249410.8,12249415.8,5.0,2.25
S046,step,pitch,12249421.2,12249429.0,7.8,1.95
S046,step,roll,12249442.0,12249447.2,5.2,1.43
S046,step,roll,12249486.1,12249491.3,5.2,3.7
S046,step,yaw,12249500.5,12249530.3,29.8,2.34
S046,step,yaw,12249532.2,12249588.9,56.7,3.41
S046,step,roll,12249561.2,12249566.1,4.9,1.7
S046,step,roll,12249590.0,12249595.2,5.2,2.53
S046,step,pitch,12249595.2,12249600.4,5.2,4.89
S046,step,roll,12249595.2,12249610.8,15.6,5.04
S046,step,pitch,12249605.6,12249613.4,7.8,2.49
S046,doublet,roll,12249621.2,12249635.9,9.5,4.03|3.5
S046,step,roll,12249642.02,12249659.3,17.28,3.34
S046,step,pitch,12249644.4,12249660.9,16.5,3.16
S046,step,roll,12249662.7,12249667.3,4.6,3.72
S046,step,pitch,12249662.8,12249669.1,6.3,3.46
S046,step,roll,12249670.5,12249674.8,4.3,3.13
S046,step,roll,12249675.79,12249691.9,16.11,4.62
S046,step,pitch,12249686.1,12249691.3,5.2,2.2
S046,step,roll,12249693.9,12249698.0,4.1,2.36
S046,step,yaw,12249709.5,12249744.7,35.2,2.32
S046,step,pitch,12249745.6,12249758.5,12.9,3.51
S046,step,roll,12249745.9,12249751.1,5.2,2.54
S046,step,roll,12249751.1,12249758.8,7.7,3.35
S046,step,pitch,12249761.4,12249775.4,14.0,2.77
S046,step,roll,12249762.6,12249776.8,14.2,3.79
S046,step,roll,12249779.6,12249784.2,4.6,1.92
S046,step,roll,12249787.4,12249794.9,7.5,4.21
S046,step,pitch,12249797.8,12249833.2,35.4,7.28
S046,step,roll,12249800.2,12249808.2,8.0,3.87
S046,step,roll,12249810.8,12249816.0,5.2,4.08
S046,step,roll,12249818.3,12249822.4,4.1,2.52
S046,step,roll,12249847.22,12249853.1,5.88,1.58
S046,step,roll,12249866.6,12249873.0,6.4,2.44
S046,step,roll,12249874.2,12249882.8,8.6,2.86
S046,step,roll,12249895.6,12249900.3,4.7,1.38
S046,step,roll,12249905.9,12249911.7,5.8,2.3
S046,step,roll,12249932.7,12249937.8,5.1,1.61
S046,step,roll,12249943.3,12249947.3,4.0,1.29
S046,step,roll,12249982.2,12249986.1,3.9,1.57
S046,step,roll,12250005.2,12250010.7,5.5,1.85
S046,step,roll,12250098.9,12250111.4,12.5,1.92
S046,step,roll,12250122.4,12250127.3,4.9,2.54
S046,step,roll,12250135.5,12250140.7,5.2,2.89
S046,step,pitch,12250143.9,12250151.0,7.1,4.33
S046,step,roll,12250149.5,12250155.4,5.9,2.44
S046,step,pitch,12250151.5,12250155.9,4.4,2.47
S046,step,roll,12250165.6,12250173.8,8.2,2.0
S046,step,roll,12250184.3,12250188.3,4.0,2.87
S046,step,roll,12250205.6,12250210.8,5.2,3.27
S046,step,roll,12250242.0,12250246.7,4.7,1.51
S046,step,roll,12250268.4,12250280.0,11.6,5.49
S046,step,roll,12250296.5,12250301.2,4.7,5.44
S046,step,roll,12250315.8,12250334.1,18.3,5.02
S046,step,yaw,12250316.3,12250348.2,31.9,12.93
S046,step,pitch,12250335.5,12250345.2,9.7,9.53
S046,step,yaw,12250352.0,12250359.3,7.3,9.88
S046,step,yaw,12250364.0,12250384.6,20.6,9.73
S046,step,yaw,12250387.4,12250400.2,12.8,13.19
S047_2,step,roll,12758728.3,12758734.0,5.7,2.07
S047_2,step,roll,12758742.5,12758759.5,17.0,1.69
S047_2,step,roll,12758765.4,12758827.5,62.1,1.36
S047_2,step,roll,12758868.3,12758888.2,19.9,2.21
S047_2,step,roll,12758902.6,12758919.5,16.9,0.95
S047_2,step,roll,12758922.6,12758933.7,11.1,0.95
S047_2,step,yaw,12758945.5,12758952.9,7.4,25.08
S047_2,step,yaw,12758954.1,12758961.5,7.4,25.44
S047_2,step,yaw,12758971.2,12758985.5,14.3,24.33
S047_2,step,yaw,12759025.6,12759031.1,5.5,19.97
S047_2,step,yaw,12759037.0,12759045.6,8.6,16.99
S047_2,step,yaw,12759174.1,12759184.3,10.2,22.39
S047_2,step,yaw,12759184.3,12759194.3,10.0,17.57
S047_2,step,yaw,12759217.19,12759222.3,5.11,2.89
S047_2,step,yaw,12759265.7,12759273.5,7.8,9.29
S047_2,step,yaw,12759273.5,12759282.9,9.4,24.84
S047_2,step,yaw,12759391.5,12759396.5,5.0,20.4
S047_2,step,yaw,12759408.7,12759419.9,11.2,9.5
S047_2,step,roll,12759437.3,12759453.4,16.1,3.95
S047_2,doublet,pitch,12759444.8,12759456.3,11.5,3.45|5.7
S047_2,step,roll,12759474.5,12759488.5,14.0,3.52
S047_2,step,pitch,12759480.2,12759486.8,6.6,3.96
S047_2,step,pitch,12759488.0,12759554.0,66.0,6.4
S047_2,step,roll,12759491.6,12759496.4,4.8,1.85
S047_2,step,pitch,12759565.2,12759570.2,5.0,2.08
S047_2,step,pitch,12759589.7,12759605.8,16.1,2.11
S047_2,step,roll,12759639.2,12759652.3,13.1,2.65
S047_2,step,roll,12759653.0,12759692.2,39.2,2.44
S047_2,step,roll,12759694.7,12759702.1,7.4,0.95
S047_2,step,roll,12759705.2,12759719.2,14.0,1.96
S047_2,step,roll,12759720.39,12759766.9,46.51,2.41
S047_2,step,roll,12759768.9,12759777.3,8.4,1.98
S047_2,step,roll,12759784.2,12759801.3,17.1,1.84
S047_2,step,roll,12759814.7,12759826.1,11.4,2.5
S047_2,step,roll,12759834.7,12759840.3,5.6,1.75
S047_2,step,roll,12759850.6,12759859.2,8.6,1.83
S047_2,step,roll,12759863.3,12759871.3,8.0,2.11
S047_2,step,roll,12759874.5,12759901.8,27.3,1.74
S047_2,step,roll,12759903.2,12759946.2,43.0,2.06
S047_2,step,roll,12759949.1,12759954.8,5.7,1.46
S047_2,step,roll,12759957.6,12759971.9,14.3,1.7
S047_2,step,roll,12759974.6,12759980.9,6.3,1.36
S047_2,step,roll,12759986.1,12759991.8,5.7,1.31
S047_2,step,roll,12759993.9,12760010.2,16.3,1.92
S047_2,step,roll,12760012.6,12760025.0,12.4,1.26
S047_2,step,roll,12760028.3,12760046.3,18.0,1.92
S047_2,step,roll,12760054.6,12760059.1,4.5,1.64
S047_2,step,roll,12760062.1,12760069.1,7.0,1.38
S047_2,step,roll,12760235.0,12760240.7,5.7,1.09
S047_2,step,roll,12760317.9,12760326.5,8.6,5.56
S047_2,step,roll,12760509.5,12760515.2,5.7,2.77
S047_2,step,roll,12760580.9,12760587.3,6.4,5.82
S047_2,step,roll,12760602.8,12760608.4,5.6,1.62
S047_2,step,yaw,12760681.0,12760692.4,11.4,4.58
S047_2,step,roll,12760683.9,12760695.1,11.2,6.37
S047_2,step,roll,12760844.0,12760849.7,5.7,3.31
S047_2,step,roll,12760961.2,12760972.0,10.8,4.82
S047_2,step,yaw,12761054.1,12761066.8,12.7,5.3
S047_2,step,roll,12761055.5,12761067.0,11.5,6.05
S047_2,step,yaw,12761066.8,12761112.6,45.8,1.1
S047_2,step,pitch,12761126.2,12761144.1,17.9,2.95
S047_2,step,pitch,12761155.2,12761161.3,6.1,2.62
S047_2,step,pitch,12761216.6,12761222.4,5.8,1.78
S047_2,step,pitch,12761230.01,12761235.7,5.69,2.08
S047_2,step,pitch,12761238.4,12761244.2,5.8,2.15
S047_2,step,pitch,12761304.3,12761318.6,14.3,1.81
S047_2,step,roll,12761415.8,12761420.7,4.9,6.2
S047_2,step,roll,12761430.1,12761437.8,7.7,1.59
S047_2,step,roll,12761438.7,12761447.2,8.5,1.44
S047_2,step,roll,12761461.5,12761467.2,5.7,3.93
S047_2,step,yaw,12761541.9,12761552.9,11.0,5.48
S047_2,step,pitch,12761544.3,12761552.3,8.0,3.17
S047_2,step,roll,12761544.4,12761552.4,8.0,6.24
S047_2,step,yaw,12761555.0,12761611.0,56.0,1.5
S047_2,step,yaw,12761618.84,12761648.2,29.36,1.75
S047_2,step,yaw,12761648.2,12761661.7,13.5,6.78
S047_2,step,pitch,12761649.6,12761661.3,11.7,3.66
S047_2,step,roll,12761650.2,12761660.4,10.2,6.1
S047_2,step,yaw,12761662.3,12761747.0,84.7,2.03
S047_2,step,yaw,12761747.0,12761761.5,14.5,7.67
S047_2,step,roll,12761749.2,12761757.5,8.3,7.91
S047_2,step,pitch,12761750.2,12761763.3,13.1,4.61
S047_2,step,yaw,12761761.5,12761790.3,28.8,2.16
S047_2,step,roll,12761763.9,12761770.3,6.4,3.01
S047_2,step,pitch,12761768.5,12761774.0,5.5,2.22
S047_2,step,pitch,12761774.8,12761817.3,42.5,9.72
S047_2,step,roll,12761781.4,12761792.4,11.0,1.36
S047_2,step,roll,12761796.0,12761803.2,7.2,2.63
S047_2,step,roll,12761858.6,12761866.7,8.1,1.19
S047_2,step,roll,12761867.5,12761872.5,5.0,1.31
S047_2,step,roll,12761878.9,12761884.7,5.8,1.01
S047_2,step,yaw,12761913.8,12761927.5,13.7,1.95
S047_2,step,roll,12761917.2,12761923.8,6.6,2.16
S047_2,step,roll,12761929.8,12761936.7,6.9,1.62
S047_2,step,roll,12761951.3,12761972.9,21.6,1.21
S047_2,step,roll,12762024.8,12762038.8,14.0,1.16
S047_2,step,roll,12762041.6,12762051.1,9.5,1.0
S047_2,step,yaw,12762059.0,12762079.0,20.0,2.41
S047_2,step,roll,12762061.9,12762077.3,15.4,3.09
S047_2,step,roll,12762113.4,12762130.0,16.6,1.63
S047_2,step,yaw,12762152.0,12762170.4,18.4,3.12
S047_2,step,roll,12762155.7,12762170.0,14.3,2.3
S047_2,step,roll,12762199.2,12762216.2,17.0,2.06
S047_2,step,roll,12762219.2,12762224.5,5.3,1.38
S047_2,step,pitch,12762233.5,12762282.0,48.5,5.39
S047_2,step,roll,12762239.2,12762247.8,8.6,1.46
S047_2,step,roll,12762253.0,12762261.5,8.5,1.6
S047_2,step,roll,12762509.9,12762515.1,5.2,1.53
S047_2,step,pitch,12762639.1,12762644.8,5.7,2.57
S047_2,step,roll,12762642.0,12762647.0,5.0,2.99
S047_2,step,roll,12762707.1,12762713.8,6.7,1.86
S047_2,step,roll,12762716.7,12762721.6,4.9,1.87
S047_2,step,pitch,12762730.5,12762736.0,5.5,3.51
S047_2,step,pitch,12762745.33,12762750.7,5.37,2.33
S047_2,step,yaw,12762754.9,12762765.2,10.3,1.44
S047_2,step,pitch,12762758.6,12762764.9,6.3,2.89
S047_2,step,roll,12762762.4,12762766.8,4.4,2.7
S047_2,step,roll,12762787.8,12762793.9,6.1,2.48
S047_2,step,roll,12762810.9,12762816.6,5.7,4.07
S047_2,step,roll,12762824.7,12762831.0,6.3,4.41
S047_2,step,roll,12762853.3,12762859.6,6.3,2.98
S047_2,step,roll,12762892.5,12762899.1,6.6,1.84
S047_2,step,roll,12762912.5,12762919.5,7.0,3.33
S047_2,step,roll,12762928.3,12762943.8,15.5,3.38
S047_2,step,pitch,12762948.0,12762953.6,5.6,3.49
S047_2,step,pitch,12762956.9,12762964.8,7.9,3.05
S047_2,step,yaw,12762967.9,12762974.0,6.1,1.09
S047_2,step,pitch,12762971.2,12762978.9,7.7,2.69
S047_2,step,roll,12762985.4,12762991.2,5.8,3.7
S047_2,step,roll,12763005.5,12763016.9,11.4,3.76
S047_2,step,yaw,12763006.6,12763015.0,8.4,1.52
S047_2,step,yaw,12763016.9,12763021.6,4.7,1.53
S047_2,step,roll,12763018.9,12763038.5,19.6,4.0
S047_2,step,yaw,12763022.7,12763030.9,8.2,1.64
S047_2,step,roll,12763039.5,12763048.0,8.5,2.29
S047_2,step,roll,12763050.6,12763059.5,8.9,2.59
S047_2,step,roll,12763062.4,12763082.3,19.9,4.12
S047_2,step,roll,12763087.1,12763097.9,10.8,2.81
S047_2,step,roll,12763167.4,12763172.6,5.2,1.44
S047_2,step,roll,12763174.0,12763182.2,8.2,2.34
S047_2,step,roll,12763183.9,12763195.1,11.2,1.64
S047_2,step,roll,12763195.7,12763202.5,6.8,4.61
S047_2,step,pitch,12763243.0,12763313.1,70.1,2.8
S047_2,step,roll,12763298.6,12763305.4,6.8,4.57
S047_2,step,pitch,12763314.29,12763319.4,5.11,1.82
S047_2,step,pitch,12763320.01,12763325.6,5.59,2.31
S047_2,step,pitch,12763398.2,12763440.0,41.8,3.34
S047_2,step,roll,12763414.3,12763419.8,5.5,2.88
S047_2,step,roll,12763433.6,12763440.0,6.4,1.97
S047_2,step,pitch,12763445.3,12763490.7,45.4,4.26
S047_2,step,pitch,12763491.7,12763514.4,22.7,2.24
S047_2,step,roll,12763500.13,12763505.8,5.67,1.04
S047_2,step,roll,12763528.7,12763533.3,4.6,3.52
S047_2,step,roll,12763551.5,12763556.2,4.7,8.09
S047_2,step,yaw,12763556.0,12763616.5,60.5,7.19
S047_2,step,roll,12763560.1,12763566.8,6.7,4.26
S047_2,step,roll,12763568.7,12763573.8,5.1,4.69
S047_2,step,roll,12763575.4,12763618.2,42.8,5.75
S047_2,step,yaw,12763621.5,12763636.2,14.7,2.19
S047_2,step,roll,12763622.2,12763633.2,11.0,2.47
S047_2,step,roll,12763634.52,12763646.8,12.28,2.77
S047_2,step,pitch,12763639.9,12763697.2,57.3,6.01
S047_2,step,roll,12763655.5,12763665.9,10.4,1.5
S047_2,step,roll,12763677.0,12763688.6,11.6,1.62
S047_2,step,roll,12763706.6,12763711.7,5.1,4.84
S047_2,step,pitch,12763741.5,12763757.1,15.6,2.6
S047_2,step,pitch,12763757.7,12763762.5,4.8,2.57
S047_2,step,roll,12763763.1,12763767.6,4.5,2.71
S047_2,step,pitch,12763763.169,12763768.9,5.73,2.24
S047_2,step,roll,12763768.8,12763775.6,6.8,4.07
S047_2,step,pitch,12763778.6,12763798.0,19.4,2.11
S047_2,step,pitch,12763800.3,12763816.9,16.6,2.31
S047_2,step,roll,12763853.4,12763871.3,17.9,3.15
S047_2,step,roll,12763894.4,12763900.3,5.9,1.86
S047_2,step,pitch,12763917.55,12763923.1,5.55,1.99
S047_2,step,pitch,12763928.99,12763936.3,7.31,2.64
S047_2,step,roll,12763957.5,12763963.0,5.5,6.65
S047_2,step,yaw,12763963.2,12763970.2,7.0,2.41
S047_2,step,yaw,12763977.3,12764033.7,56.4,5.86
S047_2,step,roll,12763977.61,12763987.0,9.39,3.58
S047_2,step,roll,12764004.5,12764011.7,7.2,3.9
S047_2,step,roll,12764014.4,12764020.9,6.5,5.58
S047_2,step,roll,12764026.21,12764034.1,7.89,3.73
S047_2,step,roll,12764042.5,12764054.5,12.0,2.83
S047_2,step,pitch,12764060.4,12764123.5,63.1,5.0
S047_2,step,roll,12764060.5,12764067.1,6.6,2.24
S047_2,step,roll,12764120.5,12764129.1,8.6,4.26
S047_2,step,pitch,12764124.7,12764129.6,4.9,3.28
S047_2,step,pitch,12764142.3,12764149.4,7.1,2.32
S047_2,step,pitch,12764151.5,12764182.4,30.9,2.82
S047_2,step,roll,12764160.5,12764165.8,5.3,1.91
S047_2,step,roll,12764174.8,12764182.5,7.7,3.21
S047_2,step,roll,12764228.9,12764234.9,6.0,1.72
S047_2,step,pitch,12764260.6,12764282.2,21.6,4.67
S047_2,step,roll,12764280.6,12764298.2,17.6,3.27
S047_2,step,pitch,12764300.3,12764312.1,11.8,2.77
S047_2,step,roll,12764300.6,12764305.5,4.9,2.57
S047_2,step,pitch,12764312.5,12764319.1,6.6,2.23
S047_2,step,pitch,12764321.3,12764329.2,7.9,2.48
S047_2,step,roll,12764355.0,12764362.8,7.8,3.02
S047_2,step,roll,12764369.2,12764377.6,8.4,4.44
S047_2,step,yaw,12764372.1,12764383.4,11.3,4.19
S047_2,step,yaw,12764384.9,12764409.5,24.6,9.4
S047_2,step,roll,12764385.4,12764394.8,9.4,4.19
S047_2,step,roll,12764395.03,12764400.1,5.07,3.6
S047_2,step,roll,12764400.75,12764405.8,5.05,6.53
S047_2,step,yaw,12764410.6,12764420.1,9.5,4.43
S047_2,step,pitch,12764414.6,12764419.8,5.2,6.11
S047_2,step,roll,12764416.1,12764446.4,30.3,4.74
S047_2,step,pitch,12764419.8,12764445.5,25.7,15.42
S047_3,step,yaw,12776701.2,12776750.9,49.7,14.46
S047_3,step,yaw,12776750.9,12776781.1,30.2,25.81
S047_3,step,yaw,12776786.9,12776798.0,11.1,16.73
S047_3,step,yaw,12776803.5,12776811.8,8.3,23.36
S047_3,step,yaw,12776811.8,12776817.3,5.5,11.31
S047_3,step,yaw,12776840.8,12776846.3,5.5,5.17
S047_3,step,yaw,12776867.2,12776877.7,10.5,22.02
S047_3,step,yaw,12776884.5,12776890.7,6.2,8.46
S047_3,step,yaw,12776893.1,12776898.1,5.0,6.39
S047_3,step,yaw,12776899.4,12776910.6,11.2,9.83
S047_3,step,yaw,12776917.08,12776930.3,13.22,8.67
S047_3,step,yaw,12776936.46,12776941.8,5.34,9.03
S047_3,step,yaw,12776947.5,12776953.0,5.5,8.24
S047_3,step,yaw,12776969.2,12776993.4,24.2,13.58
S047_3,step,yaw,12776993.4,12777000.1,6.7,13.61
S047_3,step,yaw,12777000.1,12777011.0,10.9,22.38
S047_3,step,yaw,12777036.0,12777040.9,4.9,12.22
S047_3,step,yaw,12777074.3,12777113.2,38.9,14.23
S047_3,step,yaw,12777113.7,12777118.1,4.4,4.91
S047_3,step,yaw,12777120.4,12777146.5,26.1,8.07
S047_3,step,roll,12777166.3,12777184.9,18.6,5.95
S047_3,step,pitch,12777169.9,12777205.0,35.1,8.61
S047_3,step,roll,12777196.7,12777201.6,4.9,4.08
S047_3,step,roll,12777203.0,12777208.7,5.7,3.5
S047_3,step,roll,12777226.8,12777232.7,5.9,2.51
S047_3,step,roll,12777248.3,12777252.6,4.3,1.68
S047_3,step,roll,12777277.0,12777281.6,4.6,1.49
S047_3,step,roll,12777289.1,12777296.4,7.3,2.13
S047_3,step,roll,12777312.3,12777327.4,15.1,2.78
S047_3,step,roll,12777329.6,12777334.5,4.9,3.9
S047_3,step,roll,12777337.9,12777353.8,15.9,1.98
S047_3,step,roll,12777356.5,12777368.9,12.4,2.34
S047_3,step,roll,12777372.3,12777390.5,18.2,2.34
S047_3,step,roll,12777398.7,12777426.1,27.4,2.06
S047_3,step,roll,12777429.3,12777439.0,9.7,2.05
S047_3,step,roll,12777440.9,12777446.9,6.0,1.34
S047_3,step,roll,12777465.2,12777479.2,14.0,1.19
S047_3,step,roll,12777487.5,12777499.9,12.4,2.19
S047_3,step,roll,12777501.3,12777515.0,13.7,1.82
S047_3,step,roll,12777515.22,12777527.6,12.38,1.99
S047_3,step,roll,12777531.8,12777542.7,10.9,2.38
S047_3,step,yaw,12777548.1,12777594.1,46.0,1.33
S047_3,step,roll,12777595.5,12777622.4,26.9,2.91
S047_3,step,roll,12777625.9,12777637.0,11.1,1.73
S047_3,step,roll,12777639.6,12777660.3,20.7,1.53
S047_3,step,yaw,12777661.9,12777706.6,44.7,1.52
S047_3,step,roll,12777716.7,12777756.9,40.2,1.75
S047_3,step,roll,12777758.9,12777766.5,7.6,1.6
S047_3,step,roll,12777769.2,12777792.1,22.9,1.31
S047_3,step,yaw,12777788.6,12777843.7,55.1,1.71
S047_3,step,roll,12777853.0,12777874.7,21.7,5.32
S047_3,step,roll,12777883.5,12777908.4,24.9,1.5
S047_3,step,yaw,12777908.4,12777935.7,27.3,1.52
S047_3,step,roll,12777938.8,12777966.5,27.7,3.39
S047_3,step,roll,12777972.1,12777998.9,26.8,2.32
S047_3,step,roll,12778002.4,12778008.1,5.7,1.21
S047_3,step,yaw,12778005.2,12778025.9,20.7,1.43
S047_3,step,roll,12778027.5,12778038.5,11.0,3.31
S047_3,step,roll,12778038.5,12778044.1,5.6,2.57
S047_3,step,pitch,12778045.8,12778071.8,26.0,3.87
S047_3,step,roll,12778052.4,12778094.9,42.5,5.96
S047_3,step,roll,12778096.7,12778116.1,19.4,1.93
S047_3,step,yaw,12778116.1,12778153.5,37.4,1.36
S047_3,step,roll,12778157.3,12778171.5,14.2,4.18
S047_3,step,pitch,12778181.5,12778190.8,9.3,3.83
S047_3,step,roll,12778187.6,12778265.6,78.0,1.58
S047_3,step,yaw,12778268.1,12778289.2,21.1,1.37
S047_3,step,roll,12778293.2,12778309.4,16.2,1.92
S047_3,step,roll,12778312.7,12778345.9,33.2,2.19
S047_3,step,roll,12778348.7,12778354.8,6.1,1.28
S047_3,step,roll,12778356.7,12778364.4,7.7,1.26
S047_3,step,yaw,12778364.6,12778408.2,43.6,1.86
S047_3,step,roll,12778411.8,12778428.7,16.9,2.57
S047_3,step,roll,12778431.7,12778443.8,12.1,3.75
S047_3,step,roll,12778458.1,12778466.7,8.6,1.71
S047_3,step,roll,12778467.9,12778477.9,10.0,1.88
S047_3,step,roll,12778478.8,12778486.2,7.4,1.71
S047_3,step,roll,12778499.3,12778506.5,7.2,2.03
S047_3,step,roll,12778509.3,12778514.3,5.0,1.3
S047_3,step,yaw,12778528.7,12778555.3,26.6,1.59
S047_3,step,roll,12778561.7,12778581.1,19.4,2.94
S047_3,step,roll,12778583.0,12778606.2,23.2,2.19
S047_3,step,roll,12778623.4,12778633.9,10.5,1.38
S047_3,step,yaw,12778642.0,12778659.3,17.3,1.54
S047_3,step,roll,12778661.6,12778667.7,6.1,2.46
S047_3,step,roll,12778672.7,12778677.3,4.6,1.2
S047_3,step,roll,12778680.3,12778687.8,7.5,0.95
S047_3,step,roll,12778697.5,12778703.1,5.6,0.91
S047_3,step,yaw,12778711.0,12778765.3,54.3,1.87
S047_3,step,pitch,12778766.87,12778839.3,72.43,3.51
S047_3,step,roll,12778768.7,12778775.1,6.4,2.63
S047_3,step,roll,12778786.2,12778791.7,5.5,1.52
S047_3,step,roll,12778795.9,12778807.7,11.8,0.97
S047_3,step,yaw,12778816.6,12778839.2,22.6,1.48
S047_3,step,roll,12778841.6,12778848.2,6.6,1.95
S047_3,step,roll,12778863.7,12778880.3,16.6,1.09
S047_3,step,yaw,12778902.5,12778980.0,77.5,1.69
S047_3,step,pitch,12778982.3,12778987.8,5.5,3.39
S047_3,step,roll,12778982.8,12779007.7,24.9,4.33
S047_3,step,pitch,12778989.3,12779006.7,17.4,2.55
S047_3,step,roll,12779024.4,12779029.9,5.5,6.1
S047_3,step,roll,12779035.4,12779042.3,6.9,3.29
S047_3,step,roll,12779043.7,12779049.2,5.5,2.04
S047_3,step,roll,12779086.8,12779104.7,17.9,1.17
S047_3,step,roll,12779129.6,12779134.6,5.0,3.99
S047_3,step,roll,12779148.4,12779153.2,4.8,1.27
S047_3,step,roll,12779162.8,12779171.1,8.3,1.13
S047_3,step,roll,12779190.9,12779211.2,20.3,1.33
S047_3,step,roll,12779224.1,12779268.0,43.9,1.7
S047_3,step,yaw,12779234.7,12779263.8,29.1,1.3
S047_3,step,roll,12779275.9,12779365.5,89.6,2.21
S047_3,step,roll,12779367.7,12779419.4,51.7,1.79
S047_3,step,yaw,12779370.1,12779413.5,43.4,1.32
S047_3,step,yaw,12779478.3,12779506.0,27.7,1.32
S047_3,step,roll,12779572.7,12779611.4,38.7,2.42
S047_3,step,yaw,12779589.3,12779607.0,17.7,1.22
S047_3,step,roll,12779625.3,12779684.2,58.9,2.5
S047_3,step,roll,12779686.2,12779722.2,36.0,1.76
S047_3,step,yaw,12779688.9,12779717.6,28.7,1.25
S047_3,step,roll,12779737.4,12779744.3,6.9,1.02
S047_3,step,roll,12779768.1,12779778.6,10.5,1.63
S047_3,step,roll,12779783.1,12779794.0,10.9,2.77
S047_3,step,roll,12779805.2,12779809.4,4.2,1.92
S047_3,step,roll,12779846.5,12779851.1,4.6,0.9
S047_3,step,roll,12779874.2,12779882.6,8.4,1.06
S047_3,step,roll,12779893.9,12779899.4,5.5,1.05
S047_3,step,roll,12779901.8,12779913.0,11.2,1.09
S047_3,step,roll,12779920.8,12779931.1,10.3,0.9
S047_3,step,roll,12779932.6,12779939.5,6.9,0.98
S047_3,step,roll,12779943.6,12779949.3,5.7,1.21
S047_3,step,roll,12779954.0,12779968.1,14.1,1.38
S047_3,step,roll,12779969.2,12779974.8,5.6,1.32
S047_3,step,roll,12779983.8,12780003.1,19.3,1.23
S047_3,step,roll,12780010.2,12780017.1,6.9,0.88
S047_3,step,roll,12780026.7,12780040.0,13.3,1.02
S047_3,step,pitch,12780043.4,12780115.9,72.5,2.9
S047_3,step,roll,12780047.2,12780056.5,9.3,1.25
S047_3,step,roll,12780059.8,12780065.1,5.3,0.97
S047_3,step,roll,12780065.61,12780076.6,10.99,1.43
S047_3,step,roll,12780082.22,12780102.8,20.58,1.09
S047_3,step,roll,12780117.1,12780125.3,8.2,0.99
S047_3,step,roll,12780128.2,12780134.7,6.5,1.0
S047_3,step,roll,12780140.3,12780145.9,5.6,1.04
S047_3,step,roll,12780148.6,12780153.9,5.3,1.18
S047_3,step,roll,12780227.5,12780234.3,6.8,1.17
